City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,Maturin,9.75,-63.1767,83.71,75,36,8.46,VE,2022-07-21 19:18:15
261,Krasnoselkup,65.7,82.4667,48.4,87,63,6.67,RU,2022-07-21 19:18:15
262,Yulara,-25.2406,130.9889,49.17,40,0,8.34,AU,2022-07-21 19:18:15
263,Husavik,66.0449,-17.3389,50.32,78,94,3.98,IS,2022-07-21 19:13:24
264,Havoysund,70.9963,24.6622,57.43,99,100,14.0,NO,2022-07-21 19:18:16
265,Santa Isabel,-23.3156,-46.2214,78.51,37,0,4.97,BR,2022-07-21 19:18:16
266,Marrakesh,31.6315,-8.0083,98.67,23,75,12.66,MA,2022-07-21 19:18:16
267,Buchanan,5.8808,-10.0467,76.77,77,100,11.81,LR,2022-07-21 19:18:17
268,Bogandinskiy,56.8937,65.8938,59.52,98,95,6.89,RU,2022-07-21 19:18:17
269,Vanimo,-2.6741,141.3028,77.47,87,100,2.82,PG,2022-07-21 19:18:17
270,Maningrida,-12.0667,134.2667,56.86,85,52,8.95,AU,2022-07-21 19:18:18
271,Maraba,-5.3686,-49.1178,95.18,28,40,3.44,BR,2022-07-21 19:18:18
272,Svetlogorsk,52.6333,29.7333,64.22,88,98,7.43,BY,2022-07-21 19:18:18
273,Ocampo,21.65,-101.5,82.51,14,68,10.6,MX,2022-07-21 19:18:19
274,Viedma,-40.8135,-62.9967,53.47,19,100,18.84,AR,2022-07-21 19:18:19
275,Basco,20.4487,121.9702,85.51,78,8,12.88,PH,2022-07-21 19:18:19
276,Srivardhan,18.0333,73.0167,79.27,86,92,4.0,IN,2022-07-21 19:18:20
277,Mogadishu,2.0371,45.3438,75.99,86,34,19.04,SO,2022-07-21 19:18:20
278,Bemidji,47.4736,-94.8803,80.06,46,40,17.27,US,2022-07-21 19:16:34
279,Sinop,41.7711,34.8709,60.51,91,0,4.07,TR,2022-07-21 19:19:21
280,Inongo,-1.95,18.2667,72.34,73,33,1.32,CD,2022-07-21 19:14:36
281,Shagonar,51.5333,92.8,59.27,67,22,1.05,RU,2022-07-21 19:19:21
282,Upata,8.0086,-62.3989,80.17,83,28,4.61,VE,2022-07-21 19:19:21
283,Sinnamary,5.3833,-52.95,82.33,75,27,8.32,GF,2022-07-21 19:19:22
284,Kaka,37.3482,59.6143,93.24,10,0,7.83,TM,2022-07-21 19:19:22
285,Cabay,13.8783,121.3772,76.89,93,100,4.52,PH,2022-07-21 19:19:22
286,Beira,-19.8436,34.8389,71.69,88,20,9.22,MZ,2022-07-21 19:19:23
287,San Vicente,-26.6167,-54.1333,76.39,52,63,4.43,AR,2022-07-21 19:19:23
288,Jinchang,38.4953,102.1739,59.4,51,0,9.8,CN,2022-07-21 19:19:24
289,Cabo San Lucas,22.8909,-109.9124,100.62,43,0,8.05,MX,2022-07-21 19:19:24
290,Shahr-E Babak,30.1165,55.1186,82.99,13,0,10.02,IR,2022-07-21 19:19:24
291,Inhambane,-23.865,35.3833,64.38,94,20,3.44,MZ,2022-07-21 19:16:04
292,Vokhtoga,58.8147,41.0461,57.83,80,42,4.16,RU,2022-07-21 19:19:25
293,Singaparna,-7.3515,108.111,70.92,97,100,1.74,ID,2022-07-21 19:19:25
294,Scottsbluff,41.8666,-103.6672,99.79,27,0,6.91,US,2022-07-21 19:19:25
